id,item_id,name,topic,statute,statute_ids,summary,requirements,category,jurisdiction,is_applicable,origination_date,effective_date,last_updated,last_verified,next_review_date,filing_deadlines,reporting_frequency,agency_url,agency_name,agency_contact,agency_department,regulation_url,requirements_url,submission_guide_url,forms_url,submission_guidelines,regulation_text,applicable_forms,related_regulations,compliance_notes,verification_method,notification_schedule,sources,version_number,previous_version_id,version_date,change_summary,is_current,version_metadata,state_code,state_agency,actions,dro,notification_override,sections
4532,REG1904,Equal Employment Opportunity,Discrimination,Executive Order 11246 (OFCCP),1737,"Federal contractors must not discriminate in employment decisions on the basis of race, religion, color, sex, or national origin.

 	Covered institutions must take affirmative action to ensure applicants are treated without regard to such factors.

Additional Information:
Federal contractors must not discriminate in employment decisions on the basis of race, religion, color, sex, or national origin.

 	Covered institutions must take affirmative action to ensure applicants are treated without regard to such factors.",No specific requirements provided,Human Resources,federal,t,,,2025-03-06 14:30:03.969,,,,"",https://www.dol.gov,Department of Labor,"","","","","","","","",,,"","",,,1,,2025-03-07 15:21:09.709673,,t,,,,"[{""type"": ""attestation"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""website_publish"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""community_communication"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""agency_submission"", ""status"": ""pending"", ""enabled"": true, ""required"": false}]","",,
4548,REG1831,Genetic Information Non-Discrimination Act of 2008,Diversity/Affirmative Action,Public Law No. 110-233,1765,"Prohibits use of genetic information in employment decision-making.

 	Requires that genetic information be maintained as a confidential medical record, and places strict limits on disclosure of genetic information.

Additional Information:
Prohibits use of genetic information in employment decision-making.

 	Requires that genetic information be maintained as a confidential medical record, and places strict limits on disclosure of genetic information.",No specific requirements provided,Human Resources,federal,t,,,2025-03-06 14:30:07.987,,,,"",https://www.dol.gov,Department of Labor,"","","","","","","","",,,"","",,,1,,2025-03-07 15:21:09.709673,,t,,,,"[{""type"": ""attestation"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""website_publish"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""community_communication"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""agency_submission"", ""status"": ""pending"", ""enabled"": true, ""required"": false}]","",,
4488,REG3221,Section 504 of The Rehabilitation Act of 1973,Admissions,29 U.S.C. § 794,3963,"Prohibits discrimination on the basis of disability at any federally-funded institution. This covers admissions, recruitment, educational and/or academic programs and services, housing and non-academic programs and services such as counseling, placement, physical education and athletics, student clubs and organizations. This list is not exhaustive.","",Academic Programs,federal,t,,,2018-10-17 00:00:00,,,,"",https://www.ed.gov,Department of Education,"","","","","","","","",,,"","",,,1,,2025-03-07 15:21:09.709673,,t,,,,"[{""type"": ""attestation"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""website_publish"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""community_communication"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""agency_submission"", ""status"": ""pending"", ""enabled"": true, ""required"": false}]","",,
4489,REG1993,Title IX of the Education Amendment of 1972,Admissions,20 U.S.C. §§ 1681-1688,1633,"Prohibits discrimination on the basis of sex in the admission of education programs or activities receiving federal financial assistance including employment.

 	Under the Title IX common rule, a recipient may not discriminate against any person on the basis of sex in the counseling or guidance of students or applicants for admission. Specifically, in appraising or counseling students, a recipient must not use different testing or other materials on the basis of sex or use materials that permit or require different treatment of students on the basis of sex. Such different materials may be used, however, where they cover the same occupational interest areas and their use is shown to be essential to eliminate sex bias.

 	Any grievance records relating to a Title IX violation or complaint must be retained for the period of time cited in state law for personal injury actions.","",Academic Programs,federal,t,,,2014-01-24 00:00:00,,,,"",https://www.ed.gov,Department of Education,"","","","","","","","",,,"","",,,1,,2025-03-07 15:21:09.709673,,t,,,,"[{""type"": ""attestation"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""website_publish"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""community_communication"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""agency_submission"", ""status"": ""pending"", ""enabled"": true, ""required"": false}]","",,
4764,REG-1741272396558,"Americans with Disabilities Act (ADA) Amendments Act of 2024, Section 001",Disability Rights and Accessibility,42 U.S.C. § 12101 et seq.,"","This regulation outlines the rights of individuals with disabilities to have equal access to public facilities, services, and accommodations. It also provides guidelines for businesses and organizations for implementing accessible features and practices.","Public facilities, services, and organizations must be accessible to individuals with disabilities. Reasonable accommodations must be provided upon request. Penalties for non-compliance can include fines and legal action.",Human Resources,federal,t,,,2025-03-06 14:46:36.558,2025-03-06 14:46:36.558,2026-03-06 14:46:36.558,,"",https://www.ed.gov,U.S. Department of Education,"",Office for Civil Rights,"","","","",,"",,,"","",,,1,,2025-03-07 15:21:09.709673,,t,,,,"[{""type"": ""attestation"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""website_publish"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""community_communication"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""agency_submission"", ""status"": ""pending"", ""enabled"": true, ""required"": false}]","",,
4490,REG1801,Title VI of the Civil Rights Act of 1964,Admissions,42 U.S.C. §§ 2000d-2000d-7,1704,"Prohibits discrimination based on race, color, or national origin in the admission of educational and/or academic programs or activities receiving federal financial assistance.","",Academic Programs,federal,t,,,2014-01-24 00:00:00,,,,"",https://www.ed.gov,Department of Education,"","","","","","","","",,,"","",,,1,,2025-03-07 15:21:09.709673,,t,,,,"[{""type"": ""attestation"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""website_publish"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""community_communication"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""agency_submission"", ""status"": ""pending"", ""enabled"": true, ""required"": false}]","",,
4829,REG-1741278564686,Title IX of the Education Amendments of 1972; a Policy Interpretation; Title IX and Intercollegiate Athletics,Civil Rights,45 CFR Part 86,"","The regulation interprets Title IX of the Education Amendments of 1972, prohibiting sex discrimination in educational programs. It provides guidance on compliance in intercollegiate athletics, including financial assistance, program areas, and meeting the interests and abilities of male and female students.","Compliance in Financial Assistance: Financial aid should be available proportionately to male and female participants. Compliance in Other Program Areas: Male and female athletes should receive equivalent treatment, benefits, and opportunities. Compliance in Meeting the Interests and Abilities: Athletic interests and abilities of male and female students must be equally accommodated.",Civil Rights,federal,t,,,2025-03-06 16:29:24.686,2025-03-06 16:29:24.686,2026-03-06 16:29:24.686,,"",https://www.ed.gov/about/offices/list/ocr/docs/t9interp.html#skipnav2,U.S. Department of Education,"",Office for Civil Rights,"","","","",,"",,,"","",,,1,,2025-03-07 15:21:09.709673,,t,,,,"[{""type"": ""attestation"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""website_publish"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""community_communication"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""agency_submission"", ""status"": ""pending"", ""enabled"": true, ""required"": false}]","",,
4588,REG3656,OSHA’s  Emergency Action Plan Standard,Environmental Health and Safety,"","",The University must have a written emergency action plan kept in the workplace and available for employee review upon request.,Not Applicable,Campus Safety,federal,t,,,2020-03-03 00:00:00,,,,Not Applicable,https://www.dol.gov,Department of Labor,"","","","","","",Not Applicable,"",,,"","",,,1,,2025-03-07 15:21:09.709673,,t,,,,"[{""type"": ""attestation"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""website_publish"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""community_communication"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""agency_submission"", ""status"": ""pending"", ""enabled"": true, ""required"": false}]","",,
4603,REG3639,"Restrictions on Former Officers, Employees, and Elected Officials of the Executive and Legislative",Ethics,18 U.S.C. § 207,3640,May limit the activities of individuals after they leave Federal Government service (or after they leave certain high-level positions).,"",Human Resources,federal,t,,,2020-03-02 00:00:00,,,,"",https://www.dol.gov,Department of Labor,"","","","","","","","",,,"","",,,1,,2025-03-07 15:21:09.709673,,t,,,,"[{""type"": ""attestation"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""website_publish"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""community_communication"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""agency_submission"", ""status"": ""pending"", ""enabled"": true, ""required"": false}]","",,
4604,REG3641,Salary of Government Officials and Employees Payable Only by United States,Ethics,18 U.S.C. § 209,3642,Prohibits employees from being paid by someone other than the United States for doing their official Government duties.,"",Human Resources,federal,t,,,2020-03-02 00:00:00,,,,"",https://www.dol.gov,Department of Labor,"","","","","","","","",,,"","",,,1,,2025-03-07 15:21:09.709673,,t,,,,"[{""type"": ""attestation"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""website_publish"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""community_communication"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""agency_submission"", ""status"": ""pending"", ""enabled"": true, ""required"": false}]","",,
